Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1640557;1.3705555555555555;44.18333333333333;"44°11'0.000""N 1°22'14.000""E";82113;SABATIE;"";82220;MOLIERES;Pylône autostable;30.0;HIVORY
1640622;1.2130555555555556;44.13027777777778;"44°7'49.000""N 1°12'47.000""E";82087;BAZARÈS;CHEM RURAL DE CARDAILLAC;82130;LAFRANCAISE;Pylône autostable;20.5;HIVORY
1640669;1.615;44.17388888888889;"44°10'26.000""N 1°36'54.000""E";82179;BORIETTE;"";82240;SEPTFONDS;Pylône tubulaire;30.0;HIVORY
1640709;1.21;44.04083333333333;"44°2'27.000""N 1°12'36.000""E";82096;PEDELOUP;"";82290;VILLE DIEU DU TEMPLE;Pylône autostable;25.0;HIVORY
1641760;3.9222222222222225;44.06333333333333;"44°3'48.000""N 3°55'20.000""E";30329;LES CURIERES;HAMEAU DES CURIÈRES HAUTES D57;30140;THOIRAS;Pylône autostable;25.0;TOTEM
1642052;3.265277777777778;43.75333333333333;"43°45'12.000""N 3°15'55.000""E";34205;ESPARROU;"";34700;PLANS;Pylône autostable;27.0;Conseil Départemental
1642221;3.2533333333333334;43.33833333333333;"43°20'18.000""N 3°15'12.000""E";34032;"";2 IMP DE LA SARIETTE;34500;BEZIERS;Bâtiment;26.0;Société HLM
1642866;1.4744444444444444;43.58694444444444;"43°35'13.000""N 1°28'28.000""E";31555;"";213 AV JEAN RIEUX;31000;TOULOUSE;Immeuble;13.5;Particulier
1642946;3.8941666666666666;43.62361111111111;"43°37'25.000""N 3°53'39.000""E";34172;"";1527 AV DE ST-MAUR CITÉ PLAISANCE;34000;MONTPELLIER;Immeuble;29.8;"Copropriété, Syndic, SCI"
1643591;1.3666666666666667;43.654444444444444;"43°39'16.000""N 1°22'0.000""E";31069;RASPIDE;RUE LOUIS BLERIOT;31700;BLAGNAC;Bâtiment;21.0;"Copropriété, Syndic, SCI"
1643992;0.4513888888888889;43.184444444444445;"43°11'4.000""N 0°27'5.000""E";65437;CAP DE LA BIELLE;"CHEMIN CAP DE LA BIELLE CHÂTEAU D'EAU";65300;TAJAN;"Château d'eau - réservoir";25.5;"Syndicat des eaux, Adduction"
1644796;1.4233333333333333;43.63333333333333;"43°38'0.000""N 1°25'24.000""E";31555;"";RUE FEDERICO GARCIA LORCA DOMAINE PUBLIC - VOIRIE;31000;TOULOUSE;Pylône tubulaire;31.0;TOTEM
1646795;0.63;44.17944444444444;"44°10'46.000""N 0°37'48.000""E";47031;"";3 RUE DE RIGOULET;47550;BOE;Bâtiment;15.0;Titulaire programme Radio/TV
